waktu,tweets,polarity
2022-09-18 06:09:26,rangkum aktivitas kader isu kembang kait partai demokrat maret ayo,1
2022-09-18 04:17:28,tunda milu periode cawapres nambah tahun dan lain modal dusta opini inti panjang,1
2022-09-17 17:31:57,purnawirawan jendral mantan presiden uang pasu lengkap ubah ayam,0
2022-09-14 07:45:49,ahok peras rakyat iya pelan periode ma,1
2022-09-14 02:50:19,niat tunda milu,1
2022-09-13 14:56:59,temu menteri panrb apkasi pusat tunda hapus honorer perintah daerah selesai milu via,1
2022-09-13 14:27:41,diksi bangun tugas partai lengser tunda milu,0
2022-09-13 02:54:02,trik gubernur pilih tunda milu,0
2022-09-12 16:45:09,bjorkanism harus rakyat boster rakyat rawat,0
2022-09-12 10:00:28,main silat pasti tunda ikn pasti milu jalan,1
2022-09-12 05:21:15,kayak wacana tunda milu gara gara elektabilitas takut kalah,0
2022-09-11 15:36:01,turun jalan digebuklapor hukum dicuekinke dpr ulang tahungiliran kasih data,0
2022-09-11 15:29:05,admin kemarin usul tunda milu jke periode,0
2022-09-11 14:11:14,parlemen solomon sahkan ruu tunda milu,0
2022-09-11 11:16:00,berita papua parlemen solomon sahkan ruu tunda milu,0
2022-09-11 04:01:14,paham tunda milu anies kandidat,1
2022-09-10 04:36:43,dukung periode tunda milu,1
2022-09-09 14:59:31,bbm turun ok gampang anggar milu habis otomatis tunda,1
2022-09-09 14:56:11,mudah ferguso timbal balik hati oke bbm turun anggar milu kosong berart,0
2022-09-17 23:02:48,purnawirawan jendral mantan presiden uang pasu lengkap ubah ayam sayu,0
2022-09-13 16:03:01,temu menteri panrb apkasi pusat tunda hapus honorer perintah daerah selesai milu,1
2022-09-13 15:58:15,diksi bangun tugas partai lengser tunda pemiluatau,0
2022-09-11 15:29:05,minnnbukannya kemarin usul tunda milu jke periode,0
2022-09-18 08:50:17,tuju gusdengan wacana periode tunda milu cawapres,0
2022-09-18 08:48:47,reaksi negatif publik presiden periode tunda milu muncul wacana didoron,0
2022-09-18 06:58:23,pilih milu man dunia nyampur milu pilpres pileg,0
2022-09-18 05:08:47,tambah tunda milu alas ekonomi kpu anggar ala,1
2022-09-18 04:45:58,wacana jokowi periode tunda milu wacana nyanyi jokowi beru,0
2022-09-17 15:55:54,tunda milu dalil stabil ekonomi jokowi ganti dalil gagal sejahtera rakyat,0
2022-09-23 09:48:05,puncak hut kahmi bahlil lahadalia wacana tunda milu,0
2022-09-22 17:26:24,lbp berani capres dukung psjkwkrn papar bisnis pcr,0
2022-09-22 11:35:38,takut ganti presiden bagi kursi menteri,0
2022-09-22 08:41:25,nama bakhil pelit iya tunda milu,0
2022-09-22 08:17:56,tunda milu kontribusi rakyat juang da,1
2022-09-22 08:05:33,benarbenar malu iya jabat model puas kuasa struktur banget walah,1
2022-09-22 03:15:54,urus datangapain opung buka,1
2022-09-22 02:52:59,puncak hut kahmi lagi lagi bahlil lahadalia wacana tunda milu,0
2022-09-22 02:50:56,iya tunda milu nikmat fasilitas negara menteri otak buta atur,0
2022-09-22 02:04:17,bahlul jijik walah puncak hut kahmi menteri bahlil wacana tunda milu,0
2022-09-22 01:58:21,layak tunda bangun ikn,0
2022-09-22 00:08:48,pikir agenda tunda milu wacana nambahin periode jabat presiden lanjut,0
2022-09-21 23:35:16,ente bahlul puncak hut kahmi lagi lagi bahlil lahadalia wacana tunda milu pagi jokowi dewan kolonel,0
2022-09-21 22:14:30,puncak hut kahmi bahlil lahadalia wacana tunda milu bahlul iya,0
2022-09-21 21:31:52,naik kapasitas kapabilitas jilatbilitas,1
2022-09-21 16:18:30,alas milu tunda suka akal milu wajib milu presiden kep,1
2022-09-21 16:11:04,kayak bahlil basmi rakyat ubah tunda milu,0
2022-09-21 15:08:04,tri bkpm bicara tunda milu melulu kaya urus,0
2022-09-21 13:32:33,ngebet banget nich bahlil urus tunda tunda milu,1
2022-09-21 13:24:06,tunda milu bagong,1
2022-09-21 12:57:52,walah puncak hut kahmi menteri bahlil wacana tunda milu,0
2022-09-21 11:35:02,curiga adil milu tunda biar lanjut jokowi,0
2022-09-20 12:48:18,bahas panjang jabat tambak periode tunda milu,0
2022-09-20 11:40:00,alas publik syak kait tunda milu bahlil bicara,0
2022-09-20 10:45:27,prestasi perintah tunda milu,1
2022-09-20 10:41:13,menteri suruh urus tunda milu,0
2022-09-20 03:27:56,curang milu duga sekretaris jenderal hasto coba curang konstitusi suda,0
2022-09-20 02:39:15,melihara buzzerrp adu domba rakyat tahan kuasa topeng wacana demokr,0
2022-09-19 13:38:46,curang milu duga sekretaris jenderal hasto coba curang konstitu,0
2022-09-18 17:58:29,tanding ajang kampanye milu pilpres pilkadapilegcalegkarena cepat,1
2022-10-05 08:10:38,adu domba indonesia bikin caos alas milu tunda agenda oligarki taipan,0
2022-10-04 04:23:13,om negri wakandaland tugas kpps tinggal penghi,0
2022-10-03 21:04:16,milu tewas tunda hasil milu,0
